"Name","Location","User","Command"
"OneDrive","HKU\S-1-5-21-1516121566-3568823032-547977885-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SHORTY\sisan","""C:\Program Files\Microsoft OneDrive\OneDrive.exe"" /background"
"com.squirrel.Teams.Teams","HKU\S-1-5-21-1516121566-3568823032-547977885-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SHORTY\sisan","C:\Users\sisan\AppData\Local\Microsoft\Teams\Update.exe --processStart ""Teams.exe"" --process-start-args ""--system-initiated"""
"com.squirrel.Postman-Agent.PostmanAgent","HKU\S-1-5-21-1516121566-3568823032-547977885-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SHORTY\sisan","C:\Users\sisan\AppData\Local\Postman-Agent\Postman Agent.exe"
"Teams","HKU\S-1-5-21-1516121566-3568823032-547977885-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SHORTY\sisan","""C:\Users\sisan\AppData\Local\Microsoft\WindowsApps\MSTeams_8wekyb3d8bbwe\ms-teams.exe"" msteams:system-initiated"
"Adobe Acrobat Synchronizer","HKU\S-1-5-21-1516121566-3568823032-547977885-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SHORTY\sisan","""C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe"""
"Microsoft.Lists","HKU\S-1-5-21-1516121566-3568823032-547977885-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SHORTY\sisan","C:\Program Files\Microsoft OneDrive\26.163.0823.0004\OneDrive.Sync.Service.exe"
"MicrosoftEdgeAutoLaunch_AF31E5BD80D13A11C1B31910440BE056","HKU\S-1-5-21-1516121566-3568823032-547977885-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","SHORTY\sisan","""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"" --no-startup-window --win-session-start"
"SecurityHealth","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","Public","%windir%\system32\SecurityHealthSystray.exe"
