"Name","DisplayName","State","StartMode","ExitCode"
"AppXSvc","AppX Deployment Service (AppXSVC)","Stopped","Auto","0"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Auto","0"
"GoogleUpdaterInternalService152.0.7933.0","Google Updater Internal Service (GoogleUpdaterInternalService152.0.7933.0)","Stopped","Auto","0"
"GoogleUpdaterService152.0.7933.0","Google Updater Service (GoogleUpdaterService152.0.7933.0)","Stopped","Auto","0"
"Intel(R) Platform License Manager Service","Intel(R) Platform License Manager Service","Stopped","Auto","0"
"MapsBroker","Downloaded Maps Manager","Stopped","Auto","0"
"sppsvc","Software Protection","Stopped","Auto","0"
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Auto","0"
