"Name","InterfaceDescription","Status","LinkSpeed"
"Bluetooth Network Connection","Bluetooth Device (Personal Area Network)","Disconnected","3 Mbps"
"Wi-Fi","MediaTek Wi-Fi 6E MT7902 Wireless LAN Card","Up","286.8 Mbps"
